45,2,4,4,4,4,Red
41,4,2,1,5,2,Red
50,2,5,3,4,4,Red
47,2,4,4,4,4,Red
47,2,4,4,4,4,Red
47,2,4,4,4,4,Red
47,2,4,4,4,4,Red
50,2,5,3,4,4,Red
45,4,3,5,2,2,Yellow
52,5,3,5,2,1,Red
45,4,3,5,2,2,Yellow
45,4,3,5,2,2,Yellow
45,4,3,5,2,2,Yellow
48,1,4,2,3,3,Yellow
45,4,3,5,2,2,Yellow
45,3,4,5,3,4,Blue
52,5,3,5,2,1,Red
45,4,3,5,2,2,Yellow
56,5,2,5,1,1,Blue
45,4,3,5,2,2,Yellow
48,1,4,2,3,3,Yellow
56,3,4,3,2,2,Yellow
45,4,3,5,2,2,Yellow
45,4,4,2,4,4,Red
50,4,3,2,3,1,Red
45,3,4,5,3,4,Blue
45,4,2,4,5,3,Blue
52,5,3,5,2,1,Red
56,2,4,5,5,4,Red
45,5,5,3,1,5,Blue
45,4,3,5,2,2,Yellow
56,5,2,5,1,1,Blue
50,4,3,2,3,1,Red
59,5,5,5,1,2,Red
52,5,3,5,2,1,Red
45,4,2,4,5,3,Blue
45,5,5,3,1,5,Blue
56,3,4,3,2,2,Yellow
57,5,4,4,2,5,Yellow
46,2,5,5,4,5,Red
56,2,4,5,5,4,Red
52,5,3,5,2,1,Red
45,5,5,5,5,4,Red
47,4,4,4,3,3,Yellow
45,5,3,5,4,3,Green
45,5,2,5,1,2,Yellow
49,4,2,5,4,2,Blue
64,5,5,5,3,4,Blue
45,4,4,2,4,4,Red
48,4,4,5,3,1,Green
52,4,3,5,2,2,Blue
57,5,4,4,2,5,Yellow
45,5,3,5,4,3,Green
64,5,5,5,3,4,Blue
59,5,5,5,1,2,Red
52,4,3,5,2,2,Blue
45,4,4,5,3,3,Yellow
64,5,5,5,3,4,Blue
52,5,3,5,2,1,Red
48,5,4,3,2,3,Green
45,5,5,5,5,4,Red
48,4,4,5,3,1,Green
45,5,2,5,1,2,Yellow
47,4,4,4,3,3,Yellow
49,4,2,5,4,2,Blue
46,4,5,5,5,4,Red
45,5,4,5,5,3,Red
52,5,3,5,2,1,Red
45,4,4,5,3,3,Yellow
46,4,5,5,5,4,Red
48,5,4,3,2,3,Green
43,4,4,3,5,3,Yellow
64,5,5,5,3,4,Blue
46,2,5,5,4,5,Red
52,5,3,5,2,1,Red
53,5,4,4,3,3,Green
45,3,3,4,5,2,Yellow
45,5,3,2,2,4,Blue
